registrationNumber,type,mileage,fuelUsage,driverId

GR1234-21,Truck,34000,12.5,DR001
AS8450-12,Van,15600,8.3,DR002
GE7788-19,Truck,47200,14.1,DR003
BA2093-22,Van,9800,7.9,DR004
GC9001-20,Truck,51200,13.8,DR005
WR4120-18,Van,20400,9.2,DR006
CR3001-23,Truck,38900,13.1,DR007
ER8012-17,Van,14750,7.6,DR008
UE5678-19,Truck,62200,14.7,DR009
UW3211-22,Van,17400,8.0,DR010
VR6789-20,Truck,45000,12.9,DR011
BN1230-21,Van,22300,9.5,DR012
GA4567-18,Truck,39950,13.2,DR013
SA7410-19,Van,11200,8.1,DR014
WP1920-21,Truck,33500,11.8,DR015
KO2873-22,Van,20100,8.7,DR016
NT4100-20,Truck,50900,13.5,DR017
EK9021-23,Van,9800,7.5,DR018
SV1133-21,Truck,28800,12.2,DR019
TV6300-20,Van,19000,8.4,DR020
TG8888-19,Truck,56100,13.9,DR021
